  0  -1639.107921924176
  1  -1639.107709841175
  2  -1639.107793856541
  3  -1639.106104793176
  4  -1639.065632189672
  5  -1638.925432443126
  6  -1638.727795440319
  7  -1638.640800065240
  8  -1638.665745155077
  9  -1638.678435282452
 10  -1638.679974395298
 11  -1638.677930454132
 12  -1638.657692761048
 13  -1638.648819442394
 14  -1638.771675014392
 15  -1638.946305334643
 16  -1639.075162812144
 17  -1639.107348532671
 18  -1639.107817129237
 19  -1639.107752725512
 20  -1639.107921924237
